,qname,teloBPLengths
0,de96dd09-7127-4486-9376-692dc825e914,294
1,61937de7-47ad-4135-924d-afe959872b89,78
2,51231593-1fd0-4ea8-ac0e-8932c63d7fcf,3924
3,50ae31d6-4779-4367-b163-9c6c1ce07ad5,3858
4,d319d5e6-2252-4299-87ab-2272e20c9d7d,4536
5,4b33fac4-ac30-4c7c-8d20-e3d70e0efee2,4110
6,7a63a577-c015-456e-9416-0a121b9c05db,12
7,05f89e7f-6a4b-4551-8220-efdb64c116de,2940
8,30e177ba-ddb4-4e78-84d7-c542c42f4710,2100
9,d64d7ac4-c82f-464a-a866-aef96cc22ad9,78
10,685c700e-2202-4309-a6b4-3ab546cbaa29,3618
11,10774c4f-f96a-455e-a171-69f116687458,3216
12,64632ab3-9751-4c84-b6c4-4cfa9ce5493e,3024
13,70be6970-4924-46f4-bda5-eb6a913e6f12,2262
14,12dcafea-9406-4a11-ae28-ebab3f7d1e53,366
15,39ac065a-8e70-43cc-af24-6c51d4a7d4e6,3396
16,897eec6f-3baf-4b13-8a61-b0d09f19bae7,4326
17,3dc4f0e9-9846-4cce-9b3b-0edc5445ac32,4722
18,6e66ee66-0ce6-4ea5-b7f8-cb8084e4aad7,222
19,193c946c-0015-43a2-a667-bb7dfe07c088,2880
20,ce0b37d0-ab20-4ff6-8d65-2b8d2f7cb4f1,4596
21,73364f3b-5c05-479c-ac44-e466e58e8d4e,120
22,0bc6b2a9-36be-48a8-bbed-3604fbc630af,618
23,fed9e32c-538d-44d4-85a1-d016e2b3986e,2238
24,48a7a647-8063-4b52-ac35-91245497fd49,42
25,6791e423-cacb-49d0-8d18-ae993d33e7d0,3468
26,401dfb98-86b8-40ce-bc96-cc2946bca6a3,18
27,1800419a-c758-406b-8432-e9e42616fdef,342
28,cc4c5f51-ae4c-4a18-a263-80fdfcceb7a9,354
29,dbc540d6-4f2a-49db-92bb-fc7c95a75642,504
30,cdb0508f-517f-41ea-afdc-347111abb704,3342
31,441dd9c1-6d90-4875-a0fc-8d22b52b0016,4152
32,d8603e86-c389-486d-b1fe-72d1ca329930,4056
33,db08f94a-7774-4dc2-88c2-646d73b91e12,3162
34,51e8222f-81f2-4a39-958f-576fe9f847f1,402
35,f2267b9f-5036-4006-bf54-399da52a05ca,6
36,e7a95909-4a8c-420e-bfd0-fb1ac91320c0,3438
37,742d9756-9f2a-4a94-852d-ec8902694671,3540
38,ae71061b-2ae8-42c4-b7e6-e3605f1b54f2,1698
39,41343580-299c-4cc2-99ee-b19bc1b5c3dd,3534
40,e0ad4700-bcbe-4446-9619-775971335238,2772
41,2ff422d5-b373-45ef-9c91-f187a5d89184,1530
42,c8ea71be-e8bc-4313-9a73-943060ce9576,5640
43,24de7998-7bd9-4c58-8093-d1d8293d8eda,4776
44,f60b3c05-f1ac-4452-9a64-40b491839169,2754
45,abac7bff-a798-44a7-91a8-3972fb442e0f,2604
46,a7a0e41f-44d4-411d-a549-84ec688ec290,144
47,f836f575-63b0-4611-bb7f-ec81f7e0e99b,96
48,779d292b-1ef6-46bc-9a41-646481d251b8,2376
49,dd88c110-c41e-4011-89c5-945aa83949e5,4446
50,1fde1993-1a07-4fa1-881f-ca0e745820da,3198
51,860f2e8e-3241-4767-8feb-225a3f04cb52,2376
52,b9fc86eb-c665-4b37-a0ea-7de0c86556ee,4392
53,c8862635-6928-4614-87ad-8665ce115712,1290
54,2607442a-1c3e-4ef0-a2b6-1e848db1516e,2070
55,b92209b3-8083-4acf-983d-3c9367348473,240
