,qname,teloBPLengths
99,aadde582-2daf-4174-ad78-5dc0e121ab56,4590
100,7948fd58-5140-4f5f-afb5-5da7ee88b353,42
101,6791e423-cacb-49d0-8d18-ae993d33e7d0,3468
102,cc4c5f51-ae4c-4a18-a263-80fdfcceb7a9,336
103,1800419a-c758-406b-8432-e9e42616fdef,342
104,dbc540d6-4f2a-49db-92bb-fc7c95a75642,510
105,cdb0508f-517f-41ea-afdc-347111abb704,3354
106,51e8222f-81f2-4a39-958f-576fe9f847f1,372
107,d8603e86-c389-486d-b1fe-72d1ca329930,4050
108,db08f94a-7774-4dc2-88c2-646d73b91e12,3162
109,62686c23-5358-4916-8202-056e7cd3562c,3168
110,f2267b9f-5036-4006-bf54-399da52a05ca,12
111,0fa01986-d3d9-42f7-ab87-0af1cb24c384,3414
112,34bbb3a1-3643-4655-af74-2d3d4a37a87e,4182
113,e7a95909-4a8c-420e-bfd0-fb1ac91320c0,3462
114,32d03659-dbaf-4afc-8770-d1edfeafbbf7,4212
115,52208e91-43db-495a-bccd-cad66abde084,3414
116,11a31f2b-3e24-4af5-ad36-3950732cf022,2430
117,72d78da5-011a-4a65-aca7-fbee6b615458,4794
118,92f0ff06-c7e4-4cbb-8d4f-3ac6bbc5415b,4788
119,78851a90-7b31-4f37-8a63-dbd5edd9e5ee,186
120,a060359c-389e-4b12-9a93-487e604cdac7,6
121,a49ce430-275e-48b1-b46a-50e349d88134,192
122,8de77b98-009e-4afa-9354-412a425b4e44,96
123,2d660145-c1aa-4633-98c4-edc7dee8b445,30
124,04bfef56-d047-4e8a-ac80-efc9e8d7381c,5472
125,48a35fbf-802a-469d-a11f-e6c0133ceed9,4074
126,d9a0e3e3-c5f6-4b37-ad88-a5983e2a7b99,3840
127,fb4bdee1-654c-4ba4-996c-167c021c7914,3990
128,bbaaf6a0-fafc-44a8-8408-88e441834af1,66
129,02fec1eb-b226-4889-a139-3837fd712cda,2430
130,22f7c422-ae3b-4a1d-9046-846cc133b8e8,4374
131,dd32405c-3cb7-450a-a6cf-2691aaf59fc2,210
132,a9edef01-7c6a-4351-b951-881121712b57,2346
133,31bef312-8cc7-414f-8360-e813f7f51004,5016
134,d2d28d9b-f849-4480-9388-3e347590dd2b,4146
135,7fa13e3b-db0c-4f2a-ad5c-19cff673df45,2988
136,58a5323c-0391-4cb8-bb34-f7ed86028025,3480
137,ff60c841-b525-46c9-aa1d-317ac7e1c15a,2274
138,519599e8-0a3f-4bba-99f5-ea44a4d65bd8,2820
139,92c363b4-0a51-4f9d-8602-e9c4648d5d8b,168
140,809e8240-bf96-4cbe-9825-a467699c4cc6,6
141,5b8cec6b-8224-452c-9cf6-dc6959ef56a2,204
142,b5981d0f-ef3c-47a8-9070-f42fc780ca24,108
143,cd1c2319-d9ca-4000-b4d0-1d8d1a27ee01,6306
144,ce6d5e6b-da34-4f42-a30f-1334d3cfb87b,4512
145,30f29f54-bb1d-4e8f-b39c-6024fa12f0fd,3192
146,28296e3b-aa65-4c3c-8dd9-21f5f5bd0503,228
147,7ded32aa-64ef-41fc-95d2-08eb6566645c,3492
148,0d2988a1-8087-47bd-b62e-174a8e0eea6f,30
149,c06b5b4b-ba3c-4cab-9082-7dfa8904bf8d,48
150,f7e3e8cb-37ec-4267-bf74-676342eb5256,5610
151,a5af4539-9298-4c7c-bab0-629c6da6cbb2,4464
152,93873613-deab-4d81-93aa-e668baf8a0cc,2424
153,dab85b09-378d-47c7-b2d7-3fedd7a95857,6618
154,742d9756-9f2a-4a94-852d-ec8902694671,222
155,bfe75f90-e059-4397-877c-4e1ddfc53632,1458
156,5bae714b-3dd6-49ae-95ab-3583005d2518,3276
157,3aaee9d9-459f-48a6-ac3b-2f392f630dc4,2178
158,ae71061b-2ae8-42c4-b7e6-e3605f1b54f2,1698
159,ed6bf98b-1eb2-42a1-aea4-f923504db45b,468
160,6bb160cb-40ca-4ce0-b264-7bae3dba7de4,3072
161,b18bdf19-dec4-42d6-9cbc-92cd29c66e7d,3450
162,427d63ed-d10e-45a7-b378-41981805d512,3582
163,49f2aaf3-766f-4011-9cd9-4df0300d739f,2964
164,a1e703fa-eaef-4f2b-9be2-1c07ba4eca31,2814
165,c372059f-fea9-4b30-aa72-f1fcfdf5b477,3660
166,c8f4d337-7fc7-4c95-ad7f-b17dcdaff507,504
167,c05c3890-ec16-45fb-96f4-1687da6486a8,4566
168,9135dc63-b409-43e3-b2d9-cf6897f9a6c5,138
169,c3b2ebf3-e312-461e-9ad6-33eab96c1d57,786
170,b2211baa-71dc-44af-b667-6494df1334be,144
171,dcb21588-c0bf-42f1-8978-be01177b8e5f,12
172,7832a221-0b13-4db0-8b2e-7ee9c68e9284,2700
173,19972822-0e2d-47b5-863a-fea14cefeb2b,2106
174,7cdfee14-c0bc-49c8-a4e7-7eb329243762,3648
175,41343580-299c-4cc2-99ee-b19bc1b5c3dd,3504
176,521609c2-b70d-4aaf-be9a-d39c0e17d225,120
177,448ab1e7-6bb0-4133-b314-e696b848a013,3510
178,e0ad4700-bcbe-4446-9619-775971335238,2784
179,3667fe92-1517-4c22-92eb-53ed1ede5928,4200
180,0810c13e-0664-4bf7-9a2a-91377d8f37a3,2232
181,2ff422d5-b373-45ef-9c91-f187a5d89184,6
182,c47db129-c11c-4dea-897a-2ce63a3f06ca,2664
183,e60604b9-bf76-4952-9c78-4f91f8202898,4356
184,1fa7df56-4073-4738-9c6f-d14716196144,198
185,ac3d80b4-e1b0-4301-be42-4aa468f8be83,888
186,d6d8d196-bcff-44e4-af70-cf4d16c3e2d0,702
187,44f2001d-3bfd-40fa-a97a-3a2221327513,666
188,24de7998-7bd9-4c58-8093-d1d8293d8eda,4746
189,8fa93014-f658-4092-a0cb-63f193774997,1398
190,5ce17f61-9ae8-483c-b82f-d2b46a8dfee7,2340
191,c201f432-b65d-45d3-b51a-cd7ecc80f33d,1404
192,ccaa8c67-d43b-4aee-ac95-ba87621d60c2,2970
193,87dcd9e7-93c9-4b70-9b53-e45edc5f0df0,4092
194,abac7bff-a798-44a7-91a8-3972fb442e0f,2568
195,a88441c8-20da-4884-949d-12a7dee37361,2550
196,ff740fb6-e706-44fe-8d7a-38f62b01a0a8,2460
197,23db9c66-9ad7-4f70-b175-e09417a7ed3f,2586
198,05b7df12-4f66-486b-a3c9-874b9778ca3a,4764
199,a7a0e41f-44d4-411d-a549-84ec688ec290,138
200,5c77ae10-d0fd-4a88-9ab4-aa665ebe2318,3264
201,5284ee00-0eab-45b3-af33-e27eadb1885b,3270
202,f65d7281-4b35-4bd8-a348-55d13c9c08fb,3444
203,1c3e7f10-7158-4071-97f2-76a60d9d0508,4704
204,d5df768f-0b48-428c-ae3d-153455161628,108
205,779d292b-1ef6-46bc-9a41-646481d251b8,2376
206,1fde1993-1a07-4fa1-881f-ca0e745820da,3216
207,9fc659ef-edca-432f-9a3c-d7d12cd9ea93,2166
208,8c534d5f-99b3-489c-888c-07679ac3019f,2790
209,4973484b-021a-479b-8fe2-34d8e1cb6e32,156
210,6db8f098-3901-4c9e-8a18-90c60fda5b56,6
211,b9fc86eb-c665-4b37-a0ea-7de0c86556ee,4320
212,860f2e8e-3241-4767-8feb-225a3f04cb52,2370
213,2607442a-1c3e-4ef0-a2b6-1e848db1516e,2064
214,c8862635-6928-4614-87ad-8665ce115712,1290
215,088e7743-3bd3-4384-aaa5-3620f60e5523,18
216,1f1adee5-e264-4323-8c5e-19c4e58d3d54,1980
217,4ffa6678-5fbe-4df9-917a-0788cce0be5a,3792
218,c91cb838-2299-4de0-8599-86f3a0b6a992,5712
219,88f70ee2-1b97-41ad-8c84-40815c44ad28,606
220,b92209b3-8083-4acf-983d-3c9367348473,126
221,d6d3172f-c07c-4656-bddf-c96b79fa092f,9210
222,0073fa02-facf-4d2c-add7-e31ca29f18b1,102
223,e3447029-0ebd-467a-b0cc-222307bfb7e1,90
224,2be0c816-2baf-457d-a20c-7205d5bba6e4,822
225,3540ebcf-0be8-43f0-8306-d3d4d72d1bd0,2328
226,e71ac251-cfb0-4eb9-a9ed-d397827ae494,3606
227,29b54cc2-2e74-43b8-b13f-ac7f2761e92d,2220
228,2bd0a0c6-be55-4ab5-b6b2-7a865a5ba1b7,12
229,96dec0ec-23c7-43c6-93cc-bd582640e6bc,4188
230,0c4d30f2-b42e-495c-afaa-a8b12def4af0,150
231,328d1a96-938a-4dcd-8009-3f96436e0fa7,438
232,ad133ae8-efbb-484d-acfa-323c79e97ef5,282
233,4c38cc6b-a9c5-4e34-9fab-357d109892ef,3624
234,8a0142e9-15b2-4087-982c-52c6a4f4faa8,384
235,6eaf537d-000f-4907-91ab-9adca363eb76,396
236,10e38fc3-4ced-47b8-bef1-a1619a67b60a,5022
237,63cd4f13-3482-4456-8bd3-598f6f8a8e9d,4428
238,12602628-df04-45b6-afc0-9a126fa60762,708
239,eaa43784-eb4e-4e5d-a22f-c2bdbb35a36e,3522
240,f8740925-92a7-462d-a3f2-839d9539b52a,2604
241,74539337-cf5b-4760-a51e-9dfcd0e10831,54
242,048accfa-b62a-4202-9892-2d0d4752416d,2514
243,9118fb03-d53d-45f1-aeae-0786e53fe48e,276
244,c3ed6af2-4113-419a-8871-c25dddf2e650,1962
245,c4d8432a-c74e-4013-a011-c049ed7342bf,102
246,8de66c28-fded-4cd5-9386-5bc7faf84c23,2904
247,b6a24b03-321a-4673-9c3f-129034723512,3504
248,6d86dc85-4a4a-4a83-8c1d-78864fce37f2,306
249,2fe0fc7e-69a6-40aa-ad0d-02737a967ddf,24
250,0106368d-1c26-4c08-911b-b88f1fb17442,4008
251,a1c52fca-ac07-4191-84b1-ee9881c81fca,120
252,d2ff848e-fff6-4a9b-a29e-08eb4f0a88b0,4236
253,25688881-dc29-4767-9773-f9b9989d54d8,96
254,2ed24d86-876c-477c-88e2-77ba6161d7a9,3006
255,181bb0cf-8078-4ff2-88ad-3bf0c33e86d6,2934
256,41e2f98e-8c0b-48fa-8758-ba04b7e7f2d7,138
257,cac1b62f-ab4b-48b4-9930-dc440410570e,3564
258,7bf6a5d5-6f84-41cb-af70-5f1719fa55e1,4500
259,6aec2b17-3157-4a3d-8c2e-a7327d02ee46,3498
260,7fa88951-540c-4973-9fab-18c9620b156f,4716
261,72b8f371-9340-4e51-881f-57c8c6038ec8,9606
262,5d8c6393-446d-4272-bc79-bbc19620d125,4122
263,31c3ad1b-3b22-4204-8a77-80d21324f969,4146
264,57dcebe4-bc41-44e7-a9bd-50681c63c93f,2070
265,a144a64a-b980-45ca-980c-27d9d6c7b759,324
266,3a6dc01c-1de7-452b-8269-0290e09fd90f,2718
267,9b3ebf6e-b210-446c-b65a-263ac8eb4c5a,126
268,c09b2070-19c4-4401-a04f-f09bf5dd6644,120
269,765ad031-cfd9-4d4f-9ce1-291bc199a4dd,114
270,d81c97df-de5a-483f-9ce9-f94efd5ed2fb,3306
271,7e1515c1-49fd-4a07-a500-deb7af38fc77,78
272,8b4a6c34-0a95-46f2-90c7-56c2af14ae01,3300
273,303333d5-4266-49ae-86b0-5944b7e82f70,4794
274,93758814-31f2-4a66-970b-1307c8f2a189,4794
275,94172a66-b63e-4765-b0c9-f955d7c0eba5,2994
276,50aa8b2a-fc33-44ff-9d08-9b3a38602f7c,12
277,d8cdcc86-e536-4f67-bcbd-3b56d5bdf9c7,4206
278,65d56eb7-07da-4aec-9689-a80dbf86ae96,60
279,e6948451-6318-4ad7-b8cd-6f2cdcee5cfe,66
280,1d4e7f5e-86d6-40b9-9573-172298bbda4a,300
281,125f5ae8-7145-4a73-ade2-fef76caee5bc,2880
282,67d94fbc-398d-4949-8e53-a368404610a0,810
283,4b8017c2-b910-44f1-b0fc-0bea0b8b672e,3030
284,dd041f8b-7e72-471f-89b6-f7a3dcfd6d86,324
285,a22d0210-cb0c-4288-aecb-138a32255a07,5658
286,f8e201d0-010b-4fe4-87fd-0685a7d1ec7a,1410
287,e00b4bfa-155a-4ae5-b9a6-4f6c889876bc,168
288,7f97624f-283a-4d30-af79-94e2f85d6a2d,192
289,96b27998-cc1e-40bf-a6b0-2dd26262a139,168
290,eb1ff4a2-34ee-45e8-9c10-120c84567008,138
291,443aed1c-cc59-4a18-902c-17ff1d45a900,3342
292,25e2aaf2-0e6b-4446-a191-435962008a21,174
293,9e8bbaf0-6288-4013-a940-a1df8809ec04,888
294,d28d4405-6430-44b2-ac97-f797f54bb151,2280
295,b2bd97c1-73a6-43db-85d0-d0768a4a2d7b,114
296,fc8f32ee-3f56-40c9-bc5d-0cba325edb5d,3870
297,e3e64680-ec1b-489b-9169-e7c5fa246ba8,6228
298,19982cb0-ba65-4964-ac0d-b7dca9677a33,4374
299,bfec4632-f433-4225-a156-c1fb062d4994,4566
300,2e4fd90e-0610-4c5c-9e6d-37e6e581bc9e,3024
301,02bfe233-19f5-4965-a4eb-212fbd96fa07,138
302,fdbfaba7-40ca-4dfc-aa84-e784f14aedd8,2664
303,61dd4872-29bc-4835-aee6-20e95f66cb8a,90
304,6cbeb5d1-0c46-489e-b791-9a03567b8150,180
305,facd9f26-cc50-45d0-b63d-53c3ab42803b,1284
306,2dee541a-ec60-43b0-83f1-ad696314d272,3216
307,bbfde7b3-f2cf-4752-aa02-dcd2509ebbb7,2634
308,76f57276-dc6a-4e86-9a6f-eb2cdbaf4ea3,4128
309,e97744f5-9d8b-4904-9c75-d9c1591f7f38,4224
310,f04b256e-1d96-4d6f-b721-8119f9e82fec,150
311,5826c2fa-4d28-4acb-89ea-89b2b8ec0926,3294
312,8cec0b2f-6814-4112-986a-be4afb2854c4,54
313,c6d51f01-fa6b-4dee-b72c-2707979dc439,60
314,4c5f7f21-fe4c-46b8-a412-6bec121c48d0,3078
315,5b3ee6c6-ea7e-4374-9c73-d803f9c50d70,3072
316,5b1f9f0f-4df1-4dca-94b3-3559f205a608,4416
317,e999adb9-e0c5-4150-8c59-1c0aa69ba75a,5658
318,d81acc27-1001-4c2c-b022-0239090be3f7,3846
319,69e53422-6813-4f9e-a9b7-8e5fb34c2613,3402
320,b758ff4f-9e36-4066-85ee-2da9352d62a5,6054
321,1eedddd1-9ae9-4009-bc67-867b5b0e952e,3642
322,3e1519f5-8fa6-4ba8-a53c-2d07ecade952,2208
323,70fcd264-6772-4b82-8467-b8deaa32fb99,2190
324,d4b98906-6a84-4e08-a482-e5ca730b9442,18
325,24aa182d-ca53-473a-8aae-f634481421b1,5070
326,de93a5bd-c3f4-47b3-9c1b-6558a23e461b,2604
327,c2ee0fb0-1edb-43cf-93a3-7907ca2aa323,132
328,d5a6c890-87ba-4d19-94b3-af60bf87a80a,246
329,e3664c0b-13cb-4346-a096-a623a18cda3a,1302
330,549b3801-eab1-4381-866e-d49a35b5c4d6,4890
331,95e2704e-14e5-4e18-969b-4f11523f66de,3840
332,8e526139-2c79-4b3d-b313-ef97c1ffd51c,2826
333,127114f0-323b-4068-b417-90382df7b7dc,84
334,f3f4e3d7-3601-4308-b3f4-7d9c7aa0722d,366
335,9c8388c8-56ff-4c4f-87f4-fead2d0abdd4,3324
336,059a7213-87d6-4383-8953-b812240e1c60,162
337,5b374286-216a-4772-9804-10cdd38d55cf,3162
338,3412f091-bdf4-490b-82e8-70c8f68ce5b5,30
339,856d888c-ca57-4efe-8c66-71d1f0f5aeb8,42
340,a8238e7d-0f81-41ea-868a-ad8ab056ab80,4002
341,2a07ea58-b3c7-45c0-acd1-3129409a5409,180
